Variable 1,Label 1,Variable 2,Label 2,Correlation
CLFRDAB,Do you have any close friends currently living abroad?,HHM11SEX,11th HH member: gender,0.7071067811865475
CLFRDAB,Do you have any close friends currently living abroad?,HHM11MAR,11th HH member: marital status,-1.0
CLFRDAB,Do you have any close friends currently living abroad?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
FRNDLVCZ,Close friend in Czech republic,HHM12RELR,12th HH member: relationship to the respondent,-1.0
FRNDLVCZ,Close friend in Czech republic,HHM12SEX,12th HH member: gender,-1.0
FRNDLVCZ,Close friend in Czech republic,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
FRNDLVCZ,Close friend in Czech republic,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
FRNDLVDE,Close friend in Germany,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
FRNDLVDE,Close friend in Germany,HHM5TAP,5th HH member's travel place for work (abroad),-1.0
FRNDLVDE,Close friend in Germany,HHM6TRP,6th HH member's travel place for work (inside country),-1.0
FRNDLVDK,Close friend in Denmark,RELLVDK,Close relative in Denmark,0.7065497848171756
FRNDLVES,Close friend in Spain,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,0.7745966692414834
FRNDLVGR,Close friend in Greece,HHM7MRAGE,7th HH member: Age when s/he got married,0.9191365676955671
FRNDLVIE,Close friend in Ireland,HHM7MAR,7th HH member: marital status,-0.7559289460184544
FRNDLVIT,Close friend in Italy,HHM5TRP,5th HH member's travel place for work (inside country),-0.9999999999999999
FRNDLVIT,Close friend in Italy,HHM6TRW,Has 6th HH member traveled for work outside settlement?,0.7005289007176939
FRNDLVIT,Close friend in Italy,HHM12RELR,12th HH member: relationship to the respondent,-1.0
FRNDLVIT,Close friend in Italy,HHM12SEX,12th HH member: gender,-1.0
FRNDLVIT,Close friend in Italy,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
FRNDLVIT,Close friend in Italy,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
FRNDLVLB,Close friend in Lebanon,RELLVIQ,Close relative in Iraq,0.7065497848171748
FRNDLVLT,Close friend in Lithuania,RELLVLT,Close relative in Lithuania,0.7061961474781628
FRNDLVLV,Close friend in Latvia,PARTYSUPO,Which political party is closest to you? Other specified,-0.8385254915624212
FRNDLVRU,Close friend in Russia,NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,0.9999999999999999
FRNDLVRU,Close friend in Russia,FLMANDSO,Which foreign language should be mandatory in secondary schools? Other specified,0.9522165814091078
FRNDLVRU,Close friend in Russia,HHM8MRAGE,8th HH member: Age when s/he got married,-1.0
FRNDLVRU,Close friend in Russia,HHM12DOB,12th HH member: year of birth,-1.0
FRNDLVRU,Close friend in Russia,HHM13RELR,13th HH member: relationship to the respondent,-1.0
FRNDLVRU,Close friend in Russia,HHM13DOB,13th HH member: year of birth,-1.0
FRNDLVSY,Close friend in Syria,RELLVSY,Close relative in Syria,0.7065497848171756
FRNDLVTR,Close friend in Turkey,SECNDLAOO,Second language used in everyday life-Other specified,0.7371541402007414
FRNDLVUK,Close friend in Great Britain,HHM5TAP,5th HH member's travel place for work (abroad),-1.0
FRNDLVUK,Close friend in Great Britain,HHM8EDU,8th HH member: Level of education achieved to date,0.7223607177772164
FRNDLVUS,Close friend in USA,HHM5TAP,5th HH member's travel place for work (abroad),-1.0
FATEINLF,Please tell me which comes closest to your view?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
FATEINLF,Please tell me which comes closest to your view?,HHM6TAP,6th HH member's travel place for work (abroad),-0.8207677342949546
FATEINLF,Please tell me which comes closest to your view?,HHM9MAR,9th HH member: marital status,-1.0
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,HHM8MRAGE,8th HH member: Age when s/he got married,-0.8386278693775342
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,HHM9TRW,Has 9th HH member traveled for work outside settlement?,-1.0
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,RELLVGE,Close relative in Georgia,0.7905694150420948
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,FRNDLVRU,Close friend in Russia,0.9999999999999999
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,REFRET,Possibility for early retirement of the constitutional court members,-0.7472647177570733
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",0.7181848464596079
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,LPROS,To what extent do you approve the persecution/prosecution of the representatives,-0.7844645405527361
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,EUNSUPW,What is the main reason you would not support COUNTRY's membership in the EU?,-0.8528028654224417
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,EEUSUPNA,To what extent do you support Armenia’s membership in the Eurasian Economic Unio,-1.0
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,COOPCSTO,Assessment of the results of Armenia's membership into CSTO,-1.0
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,MAINENEM,Which country is currently the main enemy of country?,-0.8659706822065698
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,USSRNEIN,Dissolution of USSR a bad thing: The gap between rich and poor has deepened,0.7242068243779014
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,ICITVOTE,Important for a good citizen: vote in elections?,-0.7905694150420947
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,ICITTRAD,Important for a good citizen: protect traditions?,-0.8749999999999999
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,ICITHELP,Important for a good citizen: support people who are worse off than themselves?,-0.7132862256552014
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,NK4_1,How likely is it to find a solution to the Nagorno-Karabakh conflict through pea,-0.9081082718950219
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,NK4_2,How likely is it to find a solution to the Nagorno-Karabakh conflict through for,-0.7608859102526823
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,NK5AR_1,To what extent do you accept having Nagorno-Karabakh as a formal part of Armenia,-0.918558653543692
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,WORKTYP,Which of the following best describes your status and the type of workplace?,-0.7783117824941562
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,WORKSEC,Which of the following best describes the sector in which you work?,-0.8673165879080587
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,FLMANDSO,Which foreign language should be mandatory in secondary schools? Other specified,-1.0
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,GAMSOC,Do you think gambling/betting has a negative impact on our society?,-0.7905694150420948
NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,HHM3TRP,3rd HH member's travel place for work (inside country),-1.0
ACCVODK,What age do you think it is acceptable for a woman to drink strong alcohol,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-1.0
ACCVODK,What age do you think it is acceptable for a woman to drink strong alcohol,WARSTRO,"In your opinion, which side started the war in August, 2008? Other specified",-1.0000000000000002
ACCVODK,What age do you think it is acceptable for a woman to drink strong alcohol,HHM6TAP,6th HH member's travel place for work (abroad),-0.8660254037844387
ACCVODK,What age do you think it is acceptable for a woman to drink strong alcohol,HHM7MRAGE,7th HH member: Age when s/he got married,-0.7127255688897131
ACCVODK,What age do you think it is acceptable for a woman to drink strong alcohol,HHM11SEX,11th HH member: gender,-0.8141523424379786
ACCVODK,What age do you think it is acceptable for a woman to drink strong alcohol,HHM11POB,11th HH member: place of birth,0.8141523424379786
ACCTOBA,What age do you think it is acceptable for a woman to smoke tobacco,EEUNSUWO,What is the main reason you would not support Armenia's membership in the Eurasi,-0.8268106308031118
ACCTOBA,What age do you think it is acceptable for a woman to smoke tobacco,EEUSUPWO,What is the main reason you would support Armenia's membership in the Eurasian U,-0.7041326566312465
ACCTOBA,What age do you think it is acceptable for a woman to smoke tobacco,USSRNEOO,Dissolution of USSR a bad thing: Other specified,-0.7124684141895685
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,ENVPROBO,Main environmental issue in Armenia: Other specified,0.894427190999916
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM5TAP,5th HH member's travel place for work (abroad),-1.0
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM6TRP,6th HH member's travel place for work (inside country),-0.9428090415820632
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM8MAR,8th HH member: marital status,-0.720576692122892
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM9DOB,9th HH member: year of birth,-0.9411349104683676
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM9EDU,9th HH member: Level of education achieved to date,0.9583727150068314
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM10RELR,10th HH member: relationship to the respondent,0.9707253433941511
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM10SEX,10th HH member: gender,-0.9607689228305228
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM10DOB,10th HH member: year of birth,-0.9922153572367612
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM10POB,10th HH member: place of birth,0.9607689228305228
ACCSEPL,What age is acceptable for woman to live separately from parents before marriage,HHM11DOB,11th HH member: year of birth,-1.0
ACCSEBM,What age is acceptable for a woman to have sexual relations before marriage,REVPARTOTS,Have you participated in the events of April 2018 in the following ways? Other s,0.8366600265340756
ACCSEBM,What age is acceptable for a woman to have sexual relations before marriage,USSRNEOO,Dissolution of USSR a bad thing: Other specified,-0.8571501342034584
ACCSEBM,What age is acceptable for a woman to have sexual relations before marriage,HHM8EDU,8th HH member: Level of education achieved to date,-0.7253367960171438
ACCMARR,What age do you think it is acceptable for a woman to get married,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
ACCMARR,What age do you think it is acceptable for a woman to get married,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM9TRW,Has 9th HH member traveled for work outside settlement?,-0.7655318158241112
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM9MAR,9th HH member: marital status,-1.0
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM12SEX,12th HH member: gender,0.917662935482247
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM12DOB,12th HH member: year of birth,-0.8660254037844385
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM12EDU,12th HH member: Level of education achieved to date,0.802955068546966
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM13RELR,13th HH member: relationship to the respondent,-0.8858920666876036
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM13DOB,13th HH member: year of birth,-0.8928976558441309
ACCMARR,What age do you think it is acceptable for a woman to get married,HHM13EDU,13th HH member: Level of education achieved to date,0.802955068546966
ACCCOHB,What age is acceptable for a woman to cohabit with a man without marriage,HHM5TRP,5th HH member's travel place for work (inside country),-1.0
ACCCOHB,What age is acceptable for a woman to cohabit with a man without marriage,HHM9SEX,9th HH member: gender,-0.9999999999999997
GENBREA,Who should normally be the breadwinner in families in COUNTRY – a man or a woman,HHM12SEX,12th HH member: gender,-1.0
GENBRER,"Majority of families in Georgia today, who is the breadwinner–a man or a woman?",HHM8MRAGE,8th HH member: Age when s/he got married,0.712691451104622
GENBRER,"Majority of families in Georgia today, who is the breadwinner–a man or a woman?",HHM12RELR,12th HH member: relationship to the respondent,-1.0
GENBRER,"Majority of families in Georgia today, who is the breadwinner–a man or a woman?",HHM12DOB,12th HH member: year of birth,-1.0
GENBRER,"Majority of families in Georgia today, who is the breadwinner–a man or a woman?",HHM13RELR,13th HH member: relationship to the respondent,-1.0
GENBRER,"Majority of families in Georgia today, who is the breadwinner–a man or a woman?",HHM13DOB,13th HH member: year of birth,-1.0
IDEALNCH,What is the ideal number of children per family in COUNTRY?,HHM12RELR,12th HH member: relationship to the respondent,-1.0
IDEALNCH,What is the ideal number of children per family in COUNTRY?,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
IDEALNCH,What is the ideal number of children per family in COUNTRY?,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
GNDPREF,"If a family has one child, what would be the preferred gender of the child?",PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
GNDPREF,"If a family has one child, what would be the preferred gender of the child?",HHM9MAR,9th HH member: marital status,-1.0
APTINHERT,The household only owns one apartment.Who should inherit the apartment?,HHM11DOB,11th HH member: year of birth,-0.7566384132704274
APTINHERT,The household only owns one apartment.Who should inherit the apartment?,HHM11EDU,11th HH member: Level of education achieved to date,0.8703882797784893
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,PARTYSUPO,Which political party is closest to you? Other specified,-1.0
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,USSRPOOTS,Dissolution of USSR a good thing: Other specified,-1.0
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,RESPTAP,Respondent's travel place for work (abroad),0.883247295879433
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,HHM4TAP,4th HH member's travel place for work (abroad),-1.0
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,HHM5MAR,5th HH member: marital status,0.9416049280053616
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,HHM8RELR,8th HH member: relationship to the respondent,-1.0
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,HHM8SEX,8th HH member: gender,-1.0
APTINHOTH,The household only owns one apartment. Who should inherit the apartment? Other,HHM8DOB,8th HH member: year of birth,-1.0
TRUPOLLRN,Do you trust or distrust the results of public opinion polls?,EEUNSUWO,What is the main reason you would not support Armenia's membership in the Eurasi,-0.7419072143997656
TRUPOLLRN,Do you trust or distrust the results of public opinion polls?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
TRUPOLLRN,Do you trust or distrust the results of public opinion polls?,HHM9TRW,Has 9th HH member traveled for work outside settlement?,0.8749999999999999
TRUPOLLRN,Do you trust or distrust the results of public opinion polls?,HHM12SEX,12th HH member: gender,-1.0
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM6TRP,6th HH member's travel place for work (inside country),0.8660254037844387
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM6TAP,6th HH member's travel place for work (abroad),-0.8703882797784892
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM8MAR,8th HH member: marital status,-0.7071067811865475
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM11EDU,11th HH member: Level of education achieved to date,-0.7071067811865475
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM12RELR,12th HH member: relationship to the respondent,-1.0
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM12EDU,12th HH member: Level of education achieved to date,-1.0
TRUOS,"Please, tell me, in general, how much do you trust or distrust the information p",HHM13EDU,13th HH member: Level of education achieved to date,-1.0
POLDIRN,Which direction domestic politics of the country are going?,HHM12RELR,12th HH member: relationship to the respondent,-0.9819805060619656
POLDIRN,Which direction domestic politics of the country are going?,HHM12EDU,12th HH member: Level of education achieved to date,-0.7559289460184545
POLDIRN,Which direction domestic politics of the country are going?,HHM13EDU,13th HH member: Level of education achieved to date,-0.7559289460184545
CNTPROS,Which of the following statements you agree with and to what extent?,HHM6TAP,6th HH member's travel place for work (abroad),-0.8728715609439694
IMPISS1,What do you think is the most important issue facing COUNTRY at the moment?,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
IMPISS1,What do you think is the most important issue facing COUNTRY at the moment?,HHM8MRAGE,8th HH member: Age when s/he got married,0.8462170256464061
IMPISS1,What do you think is the most important issue facing COUNTRY at the moment?,HHM9MAR,9th HH member: marital status,-1.0
IMPISS1,What do you think is the most important issue facing COUNTRY at the moment?,HHM11MAR,11th HH member: marital status,-1.0
IMPISS1,What do you think is the most important issue facing COUNTRY at the moment?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844386
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,USSRNEOO,Dissolution of USSR a bad thing: Other specified,-0.7925690887059782
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM4TRP,4th HH member's travel place for work (inside country),0.7446687115861395
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM6MRAGE,6th HH member: Age when s/he got married,-0.9914852360407974
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM7MRAGE,7th HH member: Age when s/he got married,-0.9819805060619659
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM8RELR,8th HH member: relationship to the respondent,-0.7435448243381715
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM8EMP,8th HH member: employed?,-1.0
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM8MRAGE,8th HH member: Age when s/he got married,-1.0
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM9RELR,9th HH member: relationship to the respondent,-0.7435448243381715
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM12RELR,12th HH member: relationship to the respondent,-1.0
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM12SEX,12th HH member: gender,-1.0
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
IMPISS1O,The most important issue facing COUNTRY at the moment? Other specified,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
IMPISS2,And the second most important issue facing COUNTRY at the moment?,ENVPROBO,Main environmental issue in Armenia: Other specified,0.8563957002228944
IMPISS2,And the second most important issue facing COUNTRY at the moment?,HHM5TAP,5th HH member's travel place for work (abroad),0.9306295871996703
IMPISS2,And the second most important issue facing COUNTRY at the moment?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
IMPISS2,And the second most important issue facing COUNTRY at the moment?,HHM8MRAGE,8th HH member: Age when s/he got married,-0.9142324078276748
IMPISS2,And the second most important issue facing COUNTRY at the moment?,HHM12RELR,12th HH member: relationship to the respondent,-1.0
IMPISS2,And the second most important issue facing COUNTRY at the moment?,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
IMPISS2,And the second most important issue facing COUNTRY at the moment?,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
IMPISS2O,The second most important issue facing COUNTRY at the moment? Other specified,PARTYSUPS,Towards which political party do you have the most sympathy for?,-0.7205766921228921
IMPISS2O,The second most important issue facing COUNTRY at the moment? Other specified,EEUNSUWO,What is the main reason you would not support Armenia's membership in the Eurasi,0.8250970287435916
IMPISS2O,The second most important issue facing COUNTRY at the moment? Other specified,ENVPROBO,Main environmental issue in Armenia: Other specified,0.9041944301794651
IMPISS2O,The second most important issue facing COUNTRY at the moment? Other specified,HHM7POB,7th HH member: place of birth,0.9610517887575002
IMPISS2O,The second most important issue facing COUNTRY at the moment? Other specified,HHM8POB,8th HH member: place of birth,0.9991507429465938
REVPARTOTS,Have you participated in the events of April 2018 in the following ways? Other s,ACCSEBM,What age is acceptable for a woman to have sexual relations before marriage,0.8366600265340756
REVPARTOTS,Have you participated in the events of April 2018 in the following ways? Other s,USSRPOCM,Dissolution of USSR a good thing: People can start business/commertial activity,0.9999999999999997
REVPARTOTS,Have you participated in the events of April 2018 in the following ways? Other s,USSRPOOTS,Dissolution of USSR a good thing: Other specified,-1.0
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM10DOB,10th HH member: year of birth,-0.9188387142213159
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM10EDU,10th HH member: Level of education achieved to date,0.7624928516630233
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM11DOB,11th HH member: year of birth,-0.8943183203049724
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM11EDU,11th HH member: Level of education achieved to date,0.8944271909999159
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM12DOB,12th HH member: year of birth,-1.0
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM13RELR,13th HH member: relationship to the respondent,-1.0
REVEXP1,What kind of expectations did you have from the events (known as “Velvet Revol,HHM13DOB,13th HH member: year of birth,-1.0
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM6TRP,6th HH member's travel place for work (inside country),-1.0
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM6TAP,6th HH member's travel place for work (abroad),1.0000000000000002
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM8EMP,8th HH member: employed?,0.9185586535436917
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM8MRAGE,8th HH member: Age when s/he got married,0.7894736842105265
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM12RELR,12th HH member: relationship to the respondent,-1.0
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
REVEXP2,To what extent have your expectations been met in regards to the events (known a,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM5TRP,5th HH member's travel place for work (inside country),-0.7453559924999299
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM6TRP,6th HH member's travel place for work (inside country),-0.7559289460184546
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM8TRW,Has 8th HH member traveled for work outside settlement?,0.9128709291752767
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM9TRW,Has 9th HH member traveled for work outside settlement?,0.9428090415820635
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM11EDU,11th HH member: Level of education achieved to date,0.7071067811865475
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM12DOB,12th HH member: year of birth,-1.0
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM13RELR,13th HH member: relationship to the respondent,-1.0
REFLANG,Making the teaching of university courses on “Armenian language” and “Arme,HHM13DOB,13th HH member: year of birth,-1.0
REFCRC,Removing the “History of Armenian church” course from the curriculum of publ,HHM8EMP,8th HH member: employed?,0.9682458365518541
REFCRC,Removing the “History of Armenian church” course from the curriculum of publ,HHM8MAR,8th HH member: marital status,0.7624928516630234
REFCRC,Removing the “History of Armenian church” course from the curriculum of publ,HHM8MRAGE,8th HH member: Age when s/he got married,0.9446104285307813
REFCRC,Removing the “History of Armenian church” course from the curriculum of publ,HHM12DOB,12th HH member: year of birth,-1.0
REFCRC,Removing the “History of Armenian church” course from the curriculum of publ,HHM13RELR,13th HH member: relationship to the respondent,-1.0
REFCRC,Removing the “History of Armenian church” course from the curriculum of publ,HHM13DOB,13th HH member: year of birth,-1.0
REFRET,Possibility for early retirement of the constitutional court members,NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,-0.7472647177570733
REFRET,Possibility for early retirement of the constitutional court members,HHM6TAP,6th HH member's travel place for work (abroad),0.9707253433941507
REFRET,Possibility for early retirement of the constitutional court members,HHM12RELR,12th HH member: relationship to the respondent,-1.0
REFRET,Possibility for early retirement of the constitutional court members,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
REFRET,Possibility for early retirement of the constitutional court members,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
REFVET,Examining the conscientiousness of the judges (vetting),HHM8EMP,8th HH member: employed?,-0.8164965809277259
REFVET,Examining the conscientiousness of the judges (vetting),HHM8MAR,8th HH member: marital status,-0.8660254037844385
REFVET,Examining the conscientiousness of the judges (vetting),HHM8MRAGE,8th HH member: Age when s/he got married,-0.9819805060619654
REFVET,Examining the conscientiousness of the judges (vetting),HHM11RELR,11th HH member: relationship to the respondent,-1.0
REFVET,Examining the conscientiousness of the judges (vetting),HHM11SEX,11th HH member: gender,-0.8660254037844385
REFVET,Examining the conscientiousness of the judges (vetting),HHM12RELR,12th HH member: relationship to the respondent,-1.0
REFVET,Examining the conscientiousness of the judges (vetting),HHM12EDU,12th HH member: Level of education achieved to date,-1.0
REFVET,Examining the conscientiousness of the judges (vetting),HHM13EDU,13th HH member: Level of education achieved to date,-1.0
REFIST,Adaptation of the Istanbul Convention (“Convention on preventing and combating,HHM8MRAGE,8th HH member: Age when s/he got married,1.0000000000000002
REFIST,Adaptation of the Istanbul Convention (“Convention on preventing and combating,HHM10RELR,10th HH member: relationship to the respondent,0.7389969586232198
REFIST,Adaptation of the Istanbul Convention (“Convention on preventing and combating,HHM11RELR,11th HH member: relationship to the respondent,1.0000000000000002
REFINT,Reduction of income tax rate,HHM5TRP,5th HH member's travel place for work (inside country),0.7222222222222223
REFINT,Reduction of income tax rate,HHM8TRW,Has 8th HH member traveled for work outside settlement?,-0.7385489458759964
REFINT,Reduction of income tax rate,HHM9TRW,Has 9th HH member traveled for work outside settlement?,-0.7302967433402217
REFINT,Reduction of income tax rate,HHM10RELR,10th HH member: relationship to the respondent,0.9182622582426504
REFINT,Reduction of income tax rate,HHM10DOB,10th HH member: year of birth,0.8728723948598966
REFINT,Reduction of income tax rate,HHM10EDU,10th HH member: Level of education achieved to date,-0.8115026712006891
REFINT,Reduction of income tax rate,HHM11DOB,11th HH member: year of birth,0.9607689228305228
REFINT,Reduction of income tax rate,HHM11EDU,11th HH member: Level of education achieved to date,-1.0
REFINT,Reduction of income tax rate,HHM12RELR,12th HH member: relationship to the respondent,-1.0
REFINT,Reduction of income tax rate,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
REFINT,Reduction of income tax rate,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",NEIGHOTH,Which of these people would you not wish to have your neighbors most? Other spec,0.7181848464596079
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",ENVPROBO,Main environmental issue in Armenia: Other specified,-0.7178459465435066
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",HHM6TRP,6th HH member's travel place for work (inside country),0.7559289460184543
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",HHM8TRW,Has 8th HH member traveled for work outside settlement?,0.8703882797784891
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",HHM8MRAGE,8th HH member: Age when s/he got married,1.0000000000000002
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",HHM10EDU,10th HH member: Level of education achieved to date,-0.8838834764831843
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",HHM11DOB,11th HH member: year of birth,0.9999999999999999
REFHLT,"Mandatory health insurance, with a 6% taxation from salaries",HHM11EDU,11th HH member: Level of education achieved to date,-0.9999999999999999
REFREF,Constitutional Referendum,HHM6TRP,6th HH member's travel place for work (inside country),0.7559289460184543
REFREF,Constitutional Referendum,HHM10EDU,10th HH member: Level of education achieved to date,-0.8749999999999998
ISTTEXT,Have you read the Istanbul Convention text?,HHM6TRP,6th HH member's travel place for work (inside country),-1.0
TRUHLTH,How much do you trust or distrust healthcare system?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,0.7745966692414835
TRUHLTH,How much do you trust or distrust healthcare system?,HHM6TAP,6th HH member's travel place for work (abroad),0.9101820546182063
TRUHLTH,How much do you trust or distrust healthcare system?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
TRUHLTH,How much do you trust or distrust healthcare system?,HHM8MAR,8th HH member: marital status,-0.7095748751868991
TRUHLTH,How much do you trust or distrust healthcare system?,HHM12SEX,12th HH member: gender,0.8660254037844385
TRUBANK,How much do you trust or distrust banks?,HHM9MAR,9th HH member: marital status,-1.0
TRUBANK,How much do you trust or distrust banks?,HHM11MAR,11th HH member: marital status,-1.0
