Variable,Description
HH8C19VCMDR,8th HH member:Vaccine/vaccines got - Moderna
HH8C19VACCOS,8th HH member: Vaccine/vaccines got - Other
HH9RELR,9th HH member: relationship to the respondent
HHM9SEX,9th HH member: gender
HHM9DOB,9th HH member: year of birth
HHM9POB,9th HH member: place of birth
HHM9EMP,9th HH member: employed?
HHM9MAR,9th HH member: marital status
HH9MARAGE,How old was 9th HH member when s/he got married [for the first time]?
HH9EDU,What is the highest level of education 9th HH member has achieved to date?
HH9C19TEST,"Since February 2020, did 9th HH member get tested for COVID-19, at least once?"
HH9C19POS,9th HH member: Were any of these tests positive?
HH9C19MEDH,"In any time since February 2020, did 9th HH member seek medical help for COVID19"
HH9C19MDH,Was 9th HH member able to get medical help?
HH9C19GTVAC,Did 9th HH member get vaccinated against COVID-19?
HH9C19VACCD,Did 9th HH member get…
HH9C19VC,Which vaccine or vaccines did the 9th member get?
HH9C19VCPHZ,9th HH member: Vaccine/vaccines got - Pfizer
HH9C19VCAST,9th HH member:Vaccine/vaccines got - Oxford/AstraZeneka
HH9C19VCSNV,9th HH member:Vaccine/vaccines got - Sinovak
HH9C19VCSNM,9th HH member:Vaccine/vaccines got - Sinopharm
HH9C19VCSPT,9th HH member:Vaccine/vaccines got - Sputnik V
HH9C19VCMDR,9th HH member:Vaccine/vaccines got - Moderna
HH9C19VACCOS,9th HH member: Vaccine/vaccines got - Other
HH10RELR,10th HH member: relationship to the respondent
HHM10SEX,10th HH member: gender
HHM10DOB,10th HH member: year of birth
HHM10POB,10th HH member: place of birth
HHM10EMP,10th HH member: employed?
HHM10MAR,10th HH member: marital status
HH10MARAGE,How old was 10th HH member when s/he got married [for the first time]?
HH10EDU,What is the highest level of education 10th HH member has achieved to date?
HH10C19TEST,"Since February 2020, did 10th HH member get tested for COVID-19, at least once?"
HH10C19POS,10th HH member: Were any of these tests positive?
HH10C19MEDH,"Since February 2020, did 10th HH member seek medical help for COVID19?"
HH10C19MDH,Was 10th HH member able to get medical help?
HH10C19GTVAC,Did 10th HH member get vaccinated against COVID-19?
HH10C19VACCD,Did 10th HH member get…
HH10C19VC,Which vaccine or vaccines did the 10th member get?
HH10C19VCPHZ,10th HH member: Vaccine/vaccines got - Pfizer
HH10C19VCAST,10th HH member:Vaccine/vaccines got - Oxford/AstraZeneka
HH10C19VCSNV,10th HH member:Vaccine/vaccines got - Sinovak
HH10C19VCSNM,10th HH member:Vaccine/vaccines got - Sinopharm
HH10C19VCSPT,10th HH member:Vaccine/vaccines got - Sputnik V
HH10C19VCMDR,10th HH member:Vaccine/vaccines got - Moderna
HH10C19VACCOS,10th HH member: Vaccine/vaccines got - Other
HH11RELR,11th HH member: relationship to the respondent
HHM11SEX,11th HH member: gender
HHM11DOB,11th HH member: year of birth
HHM11POB,11th HH member: place of birth
HHM11EMP,11th HH member: employed?
HHM11MAR,11th HH member: marital status
HH11MARAGE,How old was 11th HH member when s/he got married [for the first time]?
HH11EDU,What is the highest level of education 11th HH member has achieved to date?
HH11C19TEST,"Since February 2020, did 11th HH member get tested for COVID-19, at least once?"
HH11C19POS,11th HH member: Were any of these tests positive?
HH11C19MEDH,"Since February 2020, did 11th HH member seek medical help for COVID19?"
HH11C19MDH,Was 11th HH member able to get medical help?
HH11C19GTVAC,Did 11th HH member get vaccinated against COVID-19?
HH11C19VACCD,Did 11th HH member get…
HH11C19VC,Which vaccine or vaccines did the 11th member get?
HH11C19VCPHZ,11th HH member: Vaccine/vaccines got - Pfizer
HH11C19VCAST,11th HH member:Vaccine/vaccines got - Oxford/AstraZeneka
HH11C19VCSNV,11th HH member:Vaccine/vaccines got - Sinovak
HH11C19VCSNM,11th HH member:Vaccine/vaccines got - Sinopharm
HH11C19VCSPT,11th HH member:Vaccine/vaccines got - Sputnik V
HH11C19VCMDR,11th HH member:Vaccine/vaccines got - Moderna
HH11C19VACCOS,11th HH member: Vaccine/vaccines got - Other
HH12RELR,12th HH member: relationship to the respondent
HHM12SEX,12th HH member: gender
HHM12DOB,12th HH member: year of birth
HHM12POB,12th HH member: place of birth
HHM12EMP,12th HH member: employed?
HHM12MAR,12th HH member: marital status
HH12MARAGE,How old was 12th HH member when s/he got married [for the first time]?
HH12EDU,What is the highest level of education 12th HH member has achieved to date?
HH12C19TEST,"Since February 2020, did 12th HH member get tested for COVID-19, at least once?"
HH12C19POS,12th HH member: Were any of these tests positive?
HH12C19MEDH,"Since February 2020, did 12th HH member seek medical help for COVID19?"
HH12C19MDH,Was 12th HH member able to get medical help?
HH12C19GTVAC,Did 12th HH member get vaccinated against COVID-19?
HH12C19VACCD,Did 12th HH member get…
HH12C19VC,Which vaccine or vaccines did the 12th member get?
HH12C19VCPHZ,12th HH member: Vaccine/vaccines got - Pfizer
HH12C19VCAST,12th HH member:Vaccine/vaccines got - Oxford/AstraZeneka
HH12C19VCSNV,12th HH member:Vaccine/vaccines got - Sinovak
HH12C19VCSNM,12th HH member:Vaccine/vaccines got - Sinopharm
HH12C19VCSPT,12th HH member:Vaccine/vaccines got - Sputnik V
HH12C19VCMDR,12th HH member:Vaccine/vaccines got - Moderna
HH12C19VACCOS,12th HH member: Vaccine/vaccines got - Other
HH13RELR,13th HH member: relationship to the respondent
HHM13SEX,13th HH member: gender
HHM13DOB,13th HH member: year of birth
HHM13POB,13th HH member: place of birth
HHM13EMP,13th HH member: employed?
HHM13MAR,13th HH member: marital status
HH13MARAGE,How old was 13th HH member when s/he got married [for the first time]?
HH13EDU,What is the highest level of education 13th HH member has achieved to date?
HH13C19TEST,"Since February 2020, did 13th HH member get tested for COVID-19, at least once?"
HH13C19POS,13th HH member: Were any of these tests positive?
HH13C19MEDH,"Since February 2020, did 13th HH member seek medical help for COVID19?"
HH13C19MDH,Was 13th HH member able to get medical help?
HH13C19GTVAC,Did 13th HH member get vaccinated against COVID-19?
HH13C19VACCD,Did 13th HH member get…
HH13C19VCPHZ,13th HH member: Vaccine/vaccines got - Pfizer
HH13C19VCAST,13th HH member:Vaccine/vaccines got - Oxford/AstraZeneka
HH13C19VCSNV,13th HH member:Vaccine/vaccines got - Sinovak
HH13C19VCSNM,13th HH member:Vaccine/vaccines got - Sinopharm
HH13C19VCSPT,13th HH member:Vaccine/vaccines got - Sputnik V
HH13C19VCMDR,13th HH member:Vaccine/vaccines got - Moderna
HH13C19VACCOS,13th HH member: Vaccine/vaccines got - Other
HH14RELR,14th HH member: relationship to the respondent
HHM14SEX,14th HH member: gender
HHM14DOB,14th HH member: year of birth
HHM14POB,14th HH member: place of birth
HHM14EMP,14th HH member: employed?
HHM14MAR,14th HH member: marital status
HH14MARAGE,How old was 14th HH member when s/he got married [for the first time]?
HH14EDU,What is the highest level of education 14th HH member has achieved to date?
HH14C19TEST,"Since February 2020, did 14th HH member get tested for COVID-19, at least once?"
HH14C19POS,14th HH member: Were any of these tests positive?
HH14C19MEDH,"Since February 2020, did 14th HH member seek medical help for COVID19?"
HH14C19MDH,Was 14th HH member able to get medical help?
HH14C19GTVAC,Did 14th HH member get vaccinated against COVID-19?
HH14C19VACCD,Did 14th HH member get…
HH14C19VCPHZ,14th HH member: Vaccine/vaccines got - Pfizer
HH14C19VCAST,14th HH member:Vaccine/vaccines got - Oxford/AstraZeneka
HH14C19VCSNV,14th HH member:Vaccine/vaccines got - Sinovak
HH14C19VCSNM,14th HH member:Vaccine/vaccines got - Sinopharm
HH14C19VCSPT,14th HH member:Vaccine/vaccines got - Sputnik V
HH14C19VCMDR,14th HH member:Vaccine/vaccines got - Moderna
HH14C19VACCOS,14th HH member: Vaccine/vaccines got - Other
HELPA,HH members helped respodent to answer questions about hh
ECONSTN,The current economic situation of your household
OWNCOTV,Own: Color television
OWNDIGC,Own: Digital photo camera
OWNWASH,Own: Automatic washing machine
OWNFRDG,Own: Refrigerator
OWNAIRC,Own: Air conditioner
OWNCARS,Own: Car
OWNLNDP,Own: Land line phone
OWNTAB,Own: Tablet computer
OWNHWT,Own: Hot water
OWNCHTG,Own: Central heating
OWNMCR,Own: Microwave
OWNDISH,Own: Dishwasher
OWNCELL,Own: Cell phone
OWNPCELL,Own: you personally own a cell phone
CELLINTH,Does any of your hh members have Internet access from his/her cell phone?
OWNCOMP,"Own: Personal computer, including laptop"
WEBHOMEH,Own: Access the internet from hh member's home computer/laptop?
TVACCESS,"Does your household have access to Cable, satellite, or internet TV?"
NOMONFD,Not enough money to buy food for past 12 months
INCSOUCO,Sources of HH income: Money from relatives living in the country
INCSOUAB,Sources of HH income: Money from relatives living abroad
INCSOUAG,Sources of HH income: Sales of agricultural products
INCSOUSL,Sources of HH income: Salaries
INCSOUGO,Sources of HH income: Pensions and government benefits
INCSOURE,Sources of HH income: Rent collected
INCSOUPR,Sources of HH income: Sold property
INCSOUIN,Sources of HH income: Interest/Investment returns
INCSOUOT,Sources of HH income: Other source
MONYTOT,HH monetary income last month
SPENDMO,HH spending last month
SAVINGS,Does your household currently have any savings?
DEBTSHH,Does your household currently have any debts?
FOODDBT,Frequency of borrowing money for food
UTILDBT,Frequency of borrowing money for utilities
CURRUNG,Current perceived economic rung
FUTRUNG,Perceived economic rung in 5 years
RELCOND,Perceived relative economic condition
MININCR,Minimal monthly income for normal life
HELPC,DId the respondent get help from other household member(s
LISTENO,Did anybody else listen the interview?
FRQDIST,Frequency of respondent being distracted
FRQUNDST,How often did you feel that the respondent did not understand the questions?
FRQSHCD,How often did you feel the respondent was reluctant to use the SHOW CARDS?
RESPINL,Respondent's level of intelligence
RESPSINC,Level of sincerity of the respondent
RESPTIR,How tired was respondent at the end of the interview?
ATTEND,Number of people present during the interview
ACCEPT,Interview acceptance
SUBSTRATUM,Substratum
PSU,Cluster
HHSIZE,Number of all household members
HHASIZE,Number of adult household members
INTID,Interviewer code
C1_R,1st contact result
C1_DATE,1st contact date
C1_TIME,1st contact time
C2_R,2nd contact result
C2_DATE,2nd contact date
C2_TIME,2nd contact time
C3_R,3rd contact result
C3_DATE,3rd contact date
C3_TIME,3rd contact time
INT_DATE,Interview date
INT_START,Interview start time
INT_END,Interview end time
INT_DUR,Interview duration
INTLANG,Interview language
NPSUSS,Total number of PSUs per sub-stratum
NHHPSU,Total number of households per PSU
NADHH,Total number of adults per household
HHWT,Weight for household-level questions
