Variable,Description
HHM13MRAGE,13th HH member: Age when s/he got married
HHM13EDU,13th HH member: Level of education achieved to date
HHM14RELR,14th HH member: relationship to the respondent
HHM14SEX,14th HH member: gender
HHM14DOB,14th HH member: year of birth
HHM14POB,14th HH member: place of birth
HHM14EMP,14th HH member: employed?
HHM14TRW,Has 14th HH member traveled for work outside settlement?
HHM14TRP,14th HH member's travel place for work (inside country)
HHM14TRA,Has 14th  HH member traveled for work abroad?
HHM14TAP,14th HH member's travel place for work (abroad)
HHM14MAR,14th  HH member: marital status
HHM14MRAGE,14th HH member: Age when s/he got married
HHM14EDU,14th HH member: Level of education achieved to date
HELPA,Did the respondent get help while answering the question of section A?
ECONSTN,Current economic situation of your household:
OWNCOTV,Does your household own a color TV?
NUMCOTV,How many color TVs does your household own?
OWNDIGC,Does your household own a digital photo camera?
NUMDIGC,How many digital photo cameras does your household own?
OWNWASH,Does your household own a washing machine?
NUMWASH,How many washing machines does your household own?
OWNFRDG,Does your household own a refrigerator?
NUMFRDG,How many refrigerators does your household own?
OWNAIRC,Does your household own an air conditioner?
NUMAIRC,How many air conditioners does your household own?
OWNCARS,Does your household own a car?
NUMCARS,How many cars does your household own?
OWNLNDP,Does your household own a land line phone?
OWNCELL,Does your household own a cell phone?
NUMCELL,How many cell phones does your household own?
OWNPCELL,Do you personally own a cell phone?
NUMPCELL,How many cell phones do you personally own?
CELLINTH,Do any of your HH members have Internet access from a cell phone?
OWNCOMP,Does your household own a personal computer?
NUMCOMP,How many personal computers does your household own?
WEBHOMEH,Does any of your HH members access the Internet from a home computer?
NOMONFD,How often did you not have enough money to buy food?
INCSOUCO,HH source of income: Internal remittances
INCSOUAB,HH source of income: International remittances
INCSOUAG,HH source of income: Sales of agricultural products
INCSOUSL,HH source of income: Salaries
INCSOUGO,HH source of income: Pensions or benefits
INCSOURE,HH source of income: Income from renting
INCSOUPR,HH source of income: Income from property sales
INCSOUIN,HH source of income: Interest
INCSOUOT,HH source of income: Other
MONYTOT,HH monetary income last month
SPENDMO,HH spending last month
SAVINGS,Does your household currently have any savings?
DEBTSHH,Does your household currently have any debts?
FOODDBT,How often has your household borrowed money to buy food?
UTILDBT,How often has your household borrowed money to pay for utilities?
CURRUNG,Ladder: current HH situation
FUTRUNG,Ladder: HH situation in 5 years
RELCOND,Relative economic condition of the HH
MININCR,What minimal monthly income would enable your household live a normal life?
HELPC,Did the respondent get help while answering the question of section C?
LISTENO,Could anybody but you and the respondent listen to the answers?
FRQDIST,How often was the respondent distracted during the interview?
FRQUNDST,How often did you feel that the respondent did not understand the questions?
FRQSHCD,How often did you feel the respondent was reluctant to use the show cards?
RESPINL,How would you rate the respondents level of intelligence?
RESPSINC,How would you evaluate sincerity of respondents answers?
RESPTIR,How tired was the respondent in the end of the interview?
ACCEPT,Interview acceptance
SUBSTRATUM,Substratum
C1_R,1st contact result
C1_DATE,1st contact date
C1_TIME,1st contact time
C2_R,2nd contact result
C2_DATE,2nd contact date
C2_TIME,2nd contact time
C3_R,3rd contact result
C3_DATE,3rd contact date
C3_TIME,3rd contact time
INT_DATE,Interview date
INT_START,Interview start time
INT_END,Interview end time
INT_DUR,Interview duration
PSU,Cluster
HHSIZE,Number of all household members
HHASIZE,Number of adult household members
INTLANG,Interview language
NPSUSS,Total number of PSUs per sub-stratum
NHHPSU,Total number of households per PSU
NADHH,Total number of adults per household
HHWT,Weight for household-level questions
