Variable 1,Variable 2,Correlation
REFHLT,HHM8TRW,0.8703882797784891
REFHLT,HHM8MRAGE,1.0000000000000002
REFHLT,HHM10EDU,-0.8838834764831843
REFHLT,HHM11DOB,0.9999999999999999
REFHLT,HHM11EDU,-0.9999999999999999
REFREF,HHM6TRP,0.7559289460184543
REFREF,HHM10EDU,-0.8749999999999998
ISTTEXT,HHM6TRP,-1.0
TRUHLTH,EUNSUPO,0.7745966692414835
TRUHLTH,HHM6TAP,0.9101820546182063
TRUHLTH,HHM7TRP,-1.0
TRUHLTH,HHM8MAR,-0.7095748751868991
TRUHLTH,HHM12SEX,0.8660254037844385
TRUBANK,HHM9MAR,-1.0
TRUBANK,HHM11MAR,-1.0
TRUEDUC,HHM7TRP,-1.0
TRUEDUC,HHM12RELR,-0.8660254037844387
TRUEDUC,HHM12DOB,0.9933992677987828
TRUEDUC,HHM12EDU,-1.0
TRUEDUC,HHM13RELR,0.987829161147262
TRUEDUC,HHM13DOB,0.9853292781642911
TRUEDUC,HHM13EDU,-1.0
TRUARMY,HHM9MAR,-1.0
TRUARMY,HHM11MAR,-1.0
TRUARMY,HHM12RELR,0.8660254037844385
TRUCRTS,HHM9TRW,-0.7905694150420948
TRUNGOS,EUNSUPO,-0.8
TRUNGOS,HHM8MRAGE,0.7775419143502355
TRUNGOS,HHM12RELR,-1.0
TRUNGOS,HHM12DOB,-1.0
TRUNGOS,HHM13RELR,-1.0
TRUNGOS,HHM13DOB,-1.0
TRUPARL,HHM5TAP,0.8692421991836186
TRUPARL,HHM7TRP,-1.0
TRUPARL,HHM8MAR,-0.711557854950282
TRUPARL,HHM12SEX,0.7559289460184544
TRUEXEC,TRUPRES,0.7107712983399742
TRUEXEC,PARTYSUSO,-1.0
TRUEXEC,HHM7TRP,-1.0
TRUEXEC,HHM8MRAGE,0.7849870641173374
TRUEXEC,HHM12RELR,-1.0
TRUEXEC,HHM12DOB,-1.0
TRUEXEC,HHM13RELR,-1.0
TRUEXEC,HHM13DOB,-1.0
TRUPRES,TRUEXEC,0.7107712983399742
TRUPRES,EUNSUPO,-0.8
TRUPRES,HHM7TRP,-1.0
TRUPRES,HHM12RELR,-1.0
TRUPRES,HHM12DOB,-1.0
TRUPRES,HHM13RELR,-1.0
TRUPRES,HHM13DOB,-1.0
TRUPOLI,HHM5TAP,-0.9642090052945038
TRUPOLI,HHM11MAR,-1.0
TRUPPS,EUNSUPO,-0.7745966692414834
TRUPPS,HHM7TRP,-1.0
TRUPPS,HHM12RELR,-1.0
TRUPPS,HHM12DOB,-1.0
TRUPPS,HHM13RELR,-1.0
TRUPPS,HHM13DOB,-1.0
TRUMEDI,EUNSUPO,-0.7745966692414834
TRUMEDI,HHM7TRP,-1.0
TRUMEDI,HHM12RELR,-0.8660254037844387
TRULOCG,HHM5TAP,-0.7584817405910407
TRULOCG,HHM12RELR,-1.0
TRULOCG,HHM12DOB,-1.0
TRULOCG,HHM13RELR,-1.0
TRULOCG,HHM13DOB,-1.0
TRURELI,EUNSUPO,-0.7745966692414834
TRURELI,HHM8TRW,-0.7174300539794394
TRURELI,HHM9TRW,-0.9432422182837986
TRURELI,HHM9MAR,-1.0
TRUOMB,ENVPROBO,0.798595706249925
TRUOMB,HHM7TRP,-1.0
TRUOMB,HHM12RELR,-1.0
TRUOMB,HHM12DOB,-1.0
TRUOMB,HHM13RELR,-1.0
TRUOMB,HHM13DOB,-1.0
TRUSTEU,HHM6TAP,-1.0
TRUSTEU,HHM7TRP,-1.0
TRUSTEU,HHM12RELR,-1.0
TRUSTEU,HHM12DOB,-1.0
TRUSTEU,HHM13RELR,-1.0
TRUSTEU,HHM13DOB,-1.0
TRUSTUN,HHM7TRP,-1.0
TRUSTUN,HHM12RELR,-1.0
TRUSTUN,HHM12DOB,-1.0
TRUSTUN,HHM13RELR,-1.0
TRUSTUN,HHM13DOB,-1.0
QUALINF,PARTYSUSO,-1.0
QUALINF,EUNSUPO,-0.7181848464596079
QUALINF,HHM6TRP,0.806225774829855
QUALINF,HHM9TRW,-0.7905694150420948
QUALINF,HHM12RELR,-0.8660254037844385
FREESPK,HHM12RELR,-0.8660254037844385
FREESPK,HHM12DOB,0.9933992677987827
FREESPK,HHM12EDU,-0.9999999999999999
FREESPK,HHM13RELR,0.9878291611472619
FREESPK,HHM13DOB,0.9853292781642911
FREESPK,HHM13EDU,-0.9999999999999999
FAIRTRT,HHM7TRP,-1.0
LPROS,NEIGHOTH,-0.7844645405527361
LPROS,HHM10RELR,0.8281490569541963
LPROS,HHM10EDU,-0.7009130258223495
LPROS,HHM12RELR,-1.0
LPROS,HHM12EDU,-1.0
LPROS,HHM13EDU,-1.0
GOVTROL,PARTYSUSO,-1.0
GOVTROL,EUNSUPO,-0.8944271909999159
GOVTROL,HHM6TAP,0.7637626158259734
GOVTROL,HHM12RELR,-0.8660254037844385
OBJCOUR,HHM5TAP,0.733342976302404
OBJCOUR,HHM6TAP,-0.8944271909999159
OBJCOUR,HHM9TRW,-0.9999999999999999
OBJCOUR,HHM12SEX,-1.0
PROTEST,EUNSUPO,-0.8944271909999159
PROTEST,HHM8MRAGE,-0.7071067811865476
PROTEST,HHM11RELR,-0.7684467607813076
PROTEST,HHM12SEX,-1.0
PARTYSUPP,COUNTRY,0.73095844682089
PARTYSUPP,EEUNSUWO,-0.7494834945040609
PARTYSUPP,HHM2TAP,0.724221364121932
PARTYSUPP,HHM3TAP,0.8918115862117154
PARTYSUPP,HHM4TAP,0.8869694859878146
PARTYSUPP,HHM8MRAGE,-0.8137369596263507
PARTYSUPP,SUBSTRATUM,0.7299609853237488
PARTYSUPP,C1_DATE,-0.728543486189182
PARTYSUPP,C1_TIME,0.7309586974393069
PARTYSUPP,C2_TIME,0.7309609077600515
PARTYSUPP,C3_TIME,0.7309607642552419
PARTYSUPP,INT_DATE,-0.7283093814936574
PARTYSUPP,INT_START,0.730958669983416
PARTYSUPP,INT_END,0.7309588146062351
PARTYSUPP,INT_DUR,0.7309587026759021
PARTYSUPP,INTLANG,0.7094124128551925
PARTYSUPO,RELLVBG,-0.9883173560569455
PARTYSUPO,FRNDLVLV,-0.8385254915624212
PARTYSUPO,APTINHOTH,-1.0
PARTYSUPO,ENVPROBOT,-0.9452941770058044
PARTYSUPO,SECNDLAMR,-0.9070618468604281
PARTYSUPO,SECNDLARU,0.8075728530872482
PARTYSUPO,HHM3DOB,-0.7966041052814371
PARTYSUPO,HHM5DOB,-0.7309738846478105
PARTYSUPO,HHM6DOB,-1.0000000000000142
PARTYSUPS,COUNTRY,0.7182537919275188
PARTYSUPS,IMPISS2O,-0.7205766921228921
PARTYSUPS,USSRNETR,0.798293698795218
PARTYSUPS,HHM2TAP,0.9927567189558124
PARTYSUPS,HHM5MRAGE,-0.9737857041999309
PARTYSUPS,HHM7DOB,0.9975928294478412
PARTYSUPS,HHM7EDU,-0.9999168868906103
PARTYSUPS,SUBSTRATUM,0.7153544049611616
PARTYSUPS,C1_DATE,-0.7197865526518821
PARTYSUPS,C1_TIME,0.7182535122557627
PARTYSUPS,C2_TIME,0.7182577086572879
PARTYSUPS,C3_DATE,0.7847458010702655
PARTYSUPS,C3_TIME,0.7182572045760945
PARTYSUPS,INT_DATE,-0.7099081983989438
PARTYSUPS,INT_START,0.7182534071737081
PARTYSUPS,INT_END,0.7182536201667518
PARTYSUPS,INT_DUR,0.718253886058353
PARTYSUSO,INDWT,-1.0
PARTYSUSO,RESPSEX,-1.0
PARTYSUSO,RESPAGE,-1.0
PARTYSUSO,ACTCLEAN,-1.0
PARTYSUSO,ACTREST,-1.0
PARTYSUSO,ACTDNCH,-1.0
PARTYSUSO,ACTNRCHN,-1.0
PARTYSUSO,DISCPRPR,-1.0
PARTYSUSO,ACCMARR,-1.0
PARTYSUSO,GNDPREF,-1.0
PARTYSUSO,IMPISS1,-1.0
PARTYSUSO,TRUEXEC,-1.0
PARTYSUSO,QUALINF,-1.0
PARTYSUSO,GOVTROL,-1.0
PARTYSUSO,ELCOND,-1.0
PARTYSUSO,NATOSUPP,-1.0
PARTYSUSO,EUSUPP,-1.0
PARTYSUSO,USSRNEEC,-1.0
PARTYSUSO,ATTDEM,-1.0
PARTYSUSO,GERUAVO,-1.0
PARTYSUSO,WORKTYP,-1.0
PARTYSUSO,FEELDEBR,-1.0
PARTYSUSO,EDUYRS,-1.0
PARTYSUSO,KNOWRUS,-1.0
PARTYSUSO,KNOWENG,-1.0
PARTYSUSO,RELIMP,-1.0
PARTYSUSO,RESPPOB,-1.0
PARTYSUSO,RESPMAR,-1.0
PARTYSUSO,OWNCOTV,-1.0
PARTYSUSO,NUMCELL,-1.0
PARTYSUSO,CELLINTH,-1.0
PARTYSUSO,OWNCOMP,-1.0
PARTYSUSO,C1_DATE,-1.0
PARTYSUSO,C1_TIME,-1.0
PARTYSUSO,C2_DATE,-1.0
PARTYSUSO,HHSIZE,-1.0
PARTYSUSO,HHASIZE,-1.0
PARTYSUSO,NADHH,-1.0
PARTYSUSO,HHWT,-1.0
VOTPRCP,EUNSUPO,0.7745966692414834
VOTPRCP,HHM7TRP,-1.0
VOTPRCP,HHM12RELR,-0.8660254037844387
VOTPRCP,HHM12DOB,0.9933992677987828
VOTPRCP,HHM12EDU,-1.0
VOTPRCP,HHM13RELR,0.987829161147262
VOTPRCP,HHM13DOB,0.9853292781642911
VOTPRCP,HHM13EDU,-1.0
VOTLELE,HHM8MAR,-1.0
VOTLELE,HHM11EDU,-0.7071067811865477
VOTLELE,HHM12RELR,-1.0
VOTLELE,HHM12EDU,-1.0
VOTLELE,HHM13EDU,-1.0
VOTLEL1,VOTLEL2,0.813649565973539
VOTLEL1,EUNSUPO,0.7745966692414834
VOTLEL1,SECNDLAOO,-0.9449111825230679
VOTLEL1,HHM5TAP,-0.9637544694713636
VOTLEL1,HHM7TRW,-1.0
VOTLEL1,HHM8MRAGE,-1.0
VOTLEL2,VOTLEL1,0.813649565973539
VOTLEL2,SECNDLAOO,-0.9449111825230679
ELCOND,PARTYSUSO,-1.0
ELCOND,HHM4TAP,-0.7027517876877486
ELCOND,HHM7TRP,-1.0
ELCOND,HHM12RELR,-0.8660254037844387
ELCOND,HHM12DOB,0.9933992677987828
ELCOND,HHM12EDU,-1.0
ELCOND,HHM13RELR,0.987829161147262
ELCOND,HHM13DOB,0.9853292781642911
ELCOND,HHM13EDU,-1.0
NATOSUPP,PARTYSUSO,-1.0
NATOSUPP,HHM9TRW,-1.0
NATOSUPP,HHM11MAR,-1.0
NATOSUPP,HHM12SEX,-0.9999999999999999
NATNSUPW,EUSUPWHO,-0.9271726499455307
NATNSUPW,ENVPROBO,-1.0
NATNSUPW,FLMANDSO,-1.0
NATNSUPW,INTACOO,-0.7745966692414833
NATNSUPW,HHM4TAP,-0.8660254037844386
NATNSUPW,HHM8TRW,-1.0
NATNSUPW,HHM9SEX,-0.8242255917447339
NATNSUPW,HHM9DOB,-0.9261177138378596
NATNSUPW,HHM9EDU,0.9890707100936804
NATNSUPW,HHM10SEX,-1.0
NATNSUPW,HHM11RELR,-1.0
NATNSUPW,HHM11DOB,-1.0
NATNSUPO,INTACOO,-0.944911182523068
NATNSUPO,HHM5MAR,-1.0
NATNSUPO,HHM7RELR,-0.7559289460184545
NATNSUPO,HHM7DOB,0.7559289460184545
NATOSUPW,FLMANDSO,-0.9462778636486305
NATOSUPW,HHM5TAP,-0.845626276130704
NATOSUPW,HHM7EMP,-0.9999999999999998
NATOSUPW,HHM8EMP,-0.9999999999999999
NATOSUPW,HHM8MAR,-0.7150969419341942
NATOSUPW,HHM12SEX,-1.0
NATOSUPO,EEUNSUW,0.7559289460184544
NATOSUPO,USSRNEOO,-1.0
NATOSUPO,RESPTRP,0.9332565252573828
NATOSUPO,HHM5SEX,-0.7825855808712295
EUSUPP,PARTYSUSO,-1.0
EUSUPP,HHM8MRAGE,-0.8111474582373881
EUSUPP,HHM12SEX,-1.0
EUNSUPW,NEIGHOTH,-0.8528028654224417
EUNSUPW,USSRNEOO,-0.7894979403029901
EUNSUPW,INTACOO,0.8386278693775348
EUNSUPW,HHM3TAP,-0.79843648136302
EUNSUPW,HHM8EDU,0.7434867178155548
EUNSUPW,HHM10SEX,-1.0000000000000002
EUNSUPW,HHM11RELR,-1.0
EUNSUPW,HHM11DOB,-1.0
EUNSUPO,SETTYPE,-0.7745966692414834
EUNSUPO,ACTRESDT,-0.7745966692414834
EUNSUPO,ACTCOMM,-0.9449111825230679
EUNSUPO,ACTPBLM,-0.8944271909999159
EUNSUPO,BUSINRUS,-0.7745966692414834
EUNSUPO,BUSINUKR,-0.7745966692414834
EUNSUPO,BUSINOSS,-0.7745966692414834
EUNSUPO,RELLVES,0.7745966692414834
EUNSUPO,RELLVGR,-0.7745966692414834
EUNSUPO,RELLVIT,0.8944271909999159
EUNSUPO,FRNDLVDE,-0.7745966692414834
EUNSUPO,FRNDLVES,0.7745966692414834
EUNSUPO,FATEINLF,-0.7745966692414834
EUNSUPO,ACCVODK,-1.0
EUNSUPO,ACCMARR,-0.7745966692414834
EUNSUPO,TRUHLTH,0.7745966692414835
EUNSUPO,TRUNGOS,-0.8
EUNSUPO,TRUPRES,-0.8
EUNSUPO,TRUPPS,-0.7745966692414834
EUNSUPO,TRUMEDI,-0.7745966692414834
EUNSUPO,TRURELI,-0.7745966692414834
EUNSUPO,QUALINF,-0.7181848464596079
EUNSUPO,GOVTROL,-0.8944271909999159
EUNSUPO,PROTEST,-0.8944271909999159
EUNSUPO,VOTPRCP,0.7745966692414834
EUNSUPO,VOTLEL1,0.7745966692414834
EUNSUPO,RUBETEUN,-0.8660254037844387
EUNSUPO,MAINENEM,-1.0
EUNSUPO,EMPLSIT,-0.7745966692414834
EUNSUPO,WORKTYP,0.7745966692414834
EUNSUPO,ILOLFC1,0.7745966692414834
EUNSUPO,PERSINC,0.7745966692414834
EUNSUPO,NEWHHJOB,0.7745966692414834
EUNSUPO,FEELDEBR,-0.7745966692414834
EUNSUPO,BENFDEBY,0.8660254037844385
EUNSUPO,BENFDEBA,-0.8660254037844385
EUNSUPO,EDUYRS,0.8677218312746247
EUNSUPO,RESPEDU,0.9128709291752769
EUNSUPO,FLMANDSC,-0.7559289460184544
EUNSUPO,INTACIN,-0.7559289460184544
EUNSUPO,INTACEN,0.7559289460184544
EUNSUPO,RESPMRAGE,-0.917662935482247
EUNSUPO,HHM2MRAGE,-1.0
EUNSUPO,HHM3DOB,0.9593644138891919
EUNSUPO,HHM3POB,-0.9819805060619656
EUNSUPO,HHM3EDU,-0.9449111825230679
EUNSUPO,HHM4DOB,-1.0
EUNSUPO,HHM4EDU,-1.0
EUNSUPO,HELPA,-0.7745966692414834
EUNSUPO,OWNCARS,-0.8944271909999159
EUNSUPO,NUMCOMP,-0.9449111825230679
EUNSUPO,INCSOUAG,-0.7745966692414834
EUNSUPO,INCSOUSL,0.7745966692414834
EUNSUPO,INCSOUGO,-0.8944271909999159
EUNSUPO,CURRUNG,0.7745966692414834
EUNSUPO,LISTENO,0.7745966692414834
EUNSUPO,FRQSHCD,-0.9233805168766388
EUNSUPO,SUBSTRATUM,0.7745966692414834
EUNSUPO,C2_DATE,-0.7748327841062767
EUNSUPO,C2_TIME,-0.7150173524036946
EUNSUPO,INT_START,0.8494134043703385
EUNSUPO,INT_END,0.8127133552406903
EUNSUPO,NPSUSS,-0.7745966692414834
EUSUPWHY,FLMANDSO,-0.9416965821485117
EUSUPWHY,SECNDLAOO,-0.8660254037844385
EUSUPWHY,HHM6TRP,0.8708635721768008
EUSUPWHO,NATNSUPW,-0.9271726499455307
EUSUPWHO,EEUNSUW,-0.9429541672723838
EUSUPWHO,EEUSUPWO,0.818428308040552
EUSUPWHO,USSRPOOTS,0.8071830037509471
EUSUPWHO,INTACOO,0.8542506285982787
EUSUPWHO,RESPTRP,-0.985329278164293
EUSUPWHO,HHM2TAP,-0.8470231084153212
EUSUPWHO,HHM3TAP,-1.0
EUSUPWHO,HHM4EMP,-0.7426663815906102
EUSUPWHO,HHM5EMP,-0.9179850920431567
EUSUPWHO,HHM5MRAGE,-1.0
EUSUPWHO,HHM6SEX,0.9721245691836365
EUSUPWHO,HHM6DOB,-0.8848880187640908
EUSUPWHO,HHM6TRW,-0.9853292781642934
EUSUPWHO,HHM6MAR,-1.0
EUSUPWHO,HHM6EDU,0.8050543010667192
EUSUPWHO,HHM7DOB,-1.0
EEUSUPNA,NEIGHOTH,-1.0
EEUSUPNA,HHM6TRP,-1.0
EEUSUPNA,HHM7MAR,0.7248824356090752
EEUSUPNA,HHM10RELR,0.719275112803223
EEUSUPNA,HHM11RELR,0.8398387664337815
EEUSUPNA,HHM11POB,-0.8703882797784892
EEUNSUW,NATOSUPO,0.7559289460184544
EEUNSUW,EUSUPWHO,-0.9429541672723838
EEUNSUW,HHM2TAP,0.7971496248092164
EEUNSUW,HHM3TRP,-0.88176419218229
EEUNSUW,HHM6MAR,0.9897782665572894
EEUNSUW,HHM6MRAGE,0.720576692122892
EEUNSUW,HHM7SEX,0.9045340337332908
EEUNSUW,HHM8RELR,0.9999999999999998
EEUNSUWO,ACCTOBA,-0.8268106308031118
EEUNSUWO,TRUPOLLRN,-0.7419072143997656
EEUNSUWO,IMPISS2O,0.8250970287435916
EEUNSUWO,PARTYSUPP,-0.7494834945040609
EEUNSUWO,USSRPOOTS,-0.9766561553865115
EEUNSUWO,SECNDLAEN,0.8660254037844385
EEUNSUWO,SECNDLARU,-0.8660254037844385
EEUNSUWO,RESPTAP,-1.0
EEUNSUWO,HHM2TRP,-1.0
EEUNSUWO,HHM2MRAGE,0.9112629658139473
EEUNSUWO,HHM3MRAGE,0.7587941200406149
EEUNSUWO,HHM4MAR,-1.0
EEUNSUWO,HHM4MRAGE,-1.0
EEUNSUWO,HHM5DOB,0.8029550685469669
EEUNSUWO,HHM5POB,0.9176629354822472
EEUNSUWO,HHM5EDU,-0.8029550685469662
EEUSUPW,USSRPOOTS,-0.822903218501698
EEUSUPW,ENVPROBO,0.7283956834350812
EEUSUPW,HHM7MRAGE,0.8167949535234437
EEUSUPW,HHM8EMP,0.870388279778489
EEUSUPW,HHM8MRAGE,0.9449111825230678
EEUSUPW,HHM11SEX,0.8660254037844387
EEUSUPWO,ACCTOBA,-0.7041326566312465
EEUSUPWO,EUSUPWHO,0.818428308040552
EEUSUPWO,USSRPOHR,0.8068715304598784
EEUSUPWO,HHM4EMP,-0.7249465119962123
EEUSUPWO,HHM4MRAGE,-0.9127304766889968
EEUSUPWO,HHM5RELR,-0.7207944173135364
EEUSUPWO,HHM5EMP,0.7001400420140048
EEUSUPWO,HHM5TRA,0.7001400420140048
EEUSUPWO,HHM7RELR,0.9819805060619652
EEUSUPWO,HHM7DOB,-0.9912407071619304
EEUSUPWO,HHM7EMP,-1.0
EEUSUPWO,HHM7MAR,-1.0
EEUSUPWO,HHM7EDU,0.944911182523068
COOPEU,HHM8EMP,-1.0
COOPEU,HHM8MAR,-1.0
COOPEU,HHM8MRAGE,-1.0
COOPEU,HHM10SEX,-0.7071067811865474
COOPNATO,SECNDLAOO,0.8293412289143032
COOPNATO,HHM5TRP,0.9999999999999998
COOPNATO,HHM8TRW,-0.8660254037844385
COOPNATO,HHM8MAR,-1.0
COOPNATO,HHM8MRAGE,-1.0
COOPNATO,HHM9TRW,-1.0
COOPNATO,HHM11SEX,-1.0000000000000002
COOPNATO,HHM11DOB,-1.0000000000000002
COOPEEU,HHM6TRP,-1.0
COOPEEU,HHM8EMP,-1.0
COOPEEU,HHM8MAR,-1.0
COOPEEU,HHM8MRAGE,-1.0
COOPCSTO,NEIGHOTH,-1.0
COOPCSTO,ENVPROBO,0.7482437976719288
COOPCSTO,HHM6TAP,-0.8660254037844387
COOPCSTO,HHM11RELR,0.9649012813540153
COOPCSTO,HHM11POB,-0.9999999999999999
RUBETEUN,EUNSUPO,-0.8660254037844387
RUBETEUN,SECNDLAOO,0.7559289460184546
RUBETEUN,HHM7MRAGE,-0.8104568138596338
RUBETEUN,HHM11RELR,-1.0
RUBETEUN,HHM11SEX,0.7559289460184545
RUBETEUN,HHM11POB,-0.9449111825230679
RUBETEUN,HHM11EDU,0.7559289460184544
MAINFRN,HHM7TRP,-1.0
MAINFRN,HHM9TRW,0.8354634911222109
MAINFRN,HHM12DOB,-1.0
MAINFRN,HHM13RELR,-1.0
MAINFRN,HHM13DOB,-1.0
MAINENEM,NEIGHOTH,-0.8659706822065698
MAINENEM,EUNSUPO,-1.0
MAINENEM,WARSTRO,0.9394181855889012
MAINENEM,HHM8MRAGE,-0.907061846860428
MAINENEM,HHM12SEX,-1.0000000000000002
USSRDISS,HHM5TAP,-0.8461218042780159
USSRDISS,HHM7MRAGE,-0.7085747471575502
USSRDISS,HHM9MAR,-1.0
USSRPOIN,ENVPROBO,-0.9622504486493763
USSRPOIN,HHM4TAP,-0.7877162553977002
USSRPOIN,HHM5TRP,0.8017837257372732
USSRPOIN,HHM10EDU,-1.0
USSRPOWE,HHM11SEX,0.9999999999999999
USSRPOWE,HHM11POB,-0.8660254037844385
USSRPOHR,EEUSUPWO,0.8068715304598784
USSRPOHR,ENVPROBO,0.9622504486493763
USSRPOCM,REVPARTOTS,0.9999999999999997
USSRPOEL,HHM5TRP,-0.8017837257372731
USSRPOEX,ENVPROBO,0.9622504486493763
USSRPOEX,HHM7MRAGE,0.8386278693775345
USSRPOOTS,APTINHOTH,-1.0
USSRPOOTS,REVPARTOTS,-1.0
USSRPOOTS,EUSUPWHO,0.8071830037509471
USSRPOOTS,EEUNSUWO,-0.9766561553865115
USSRPOOTS,EEUSUPW,-0.822903218501698
USSRPOOTS,ABKGCONF,-0.768174640172897
USSRPOOTS,UNEMYRS,-0.9858829471719792
USSRPOOTS,SECNDLAMR,0.8660254037844385
USSRPOOTS,RESPTRP,0.8220504592181087
USSRPOOTS,HHM4MRAGE,-0.8816000480480505
USSRPOOTS,HHM5MRAGE,0.9882327393327942
USSRPOOTS,HHM6TRA,0.9819805060619656
USSRPOOTS,HHM6MRAGE,-1.0
USSRNEEC,PARTYSUSO,-1.0
USSRNEEC,HHM8MAR,-0.8703882797784892
USSRNEEC,HHM8MRAGE,0.9801960588196067
USSRNETI,SECNDLAOO,0.9438798074485389
USSRNETI,HHM11MAR,-1.0
USSRNETI,HHM12DOB,-1.0
USSRNETI,HHM13RELR,-1.0
USSRNETI,HHM13DOB,-1.0
USSRNEGHA,HHM8MAR,0.8703882797784892
USSRNEGHA,HHM8MRAGE,-0.9801960588196067
USSRNEWA,HHM5TAP,-1.0
USSRNECC,HHM9DOB,-0.755636764810279
USSRNECC,HHM11RELR,-0.9999999999999998
USSRNECC,HHM11DOB,-1.0000000000000007
USSRNEWK,ENVPROBO,0.7630583624573739
USSRNEWK,WARSTRO,0.7570563574518141
USSRNEWK,HHM5TAP,-1.0
USSRNEWK,HHM10POB,0.7677718959499145
USSRNETR,PARTYSUPS,0.798293698795218
USSRNEIN,NEIGHOTH,0.7242068243779014
ICITLAW,HHM9TRW,0.7276068751089989
ICITLAW,HHM10DOB,0.9548852021955463
ICITLAW,HHM10EDU,-0.9244734516419049
ICITLAW,HHM11DOB,0.9619964634631861
ICITLAW,HHM11EDU,-0.8944271909999159
ICITLAW,HHM12RELR,-1.0
ICITLAW,HHM12EDU,-1.0
ICITLAW,HHM13EDU,-1.0
ICITGOV,HHM8MAR,-0.8017837257372733
ICITGOV,HHM11RELR,-0.7646186864412566
ICITGOV,HHM11EDU,-0.7515664644844356
ICITGOV,HHM12RELR,-1.0
ICITGOV,HHM12EDU,-1.0
ICITGOV,HHM13EDU,-1.0
ICITVOTE,NEIGHOTH,-0.7905694150420947
ICITVOTE,HHM10DOB,0.918838714221316
ICITVOTE,HHM10EDU,-0.7624928516630234
ICITVOTE,HHM11DOB,0.8943183203049724
ICITVOTE,HHM11EDU,-0.894427190999916
ICITVOTE,HHM12RELR,-1.0
ICITVOTE,HHM12EDU,-1.0
ICITVOTE,HHM13EDU,-1.0
ICITTRAD,NEIGHOTH,-0.8749999999999999
ICITTRAD,HHM10DOB,0.7072054495441321
ICITTRAD,HHM11EDU,-0.7071067811865475
ICITTRAD,HHM12RELR,-1.0
ICITTRAD,HHM12EDU,-1.0
ICITTRAD,HHM13EDU,-1.0
IMPGCVW,HHM12RELR,-1.0
IMPGCVW,HHM12EDU,-1.0
IMPGCVW,HHM13EDU,-1.0
ICITHELP,NEIGHOTH,-0.7132862256552014
ICITHELP,HHM10RELR,0.7552003943834874
ICITHELP,HHM10DOB,0.7411459380826491
ICITHELP,HHM11EDU,-0.7071067811865475
ICITHELP,HHM12RELR,-1.0
ICITHELP,HHM12EDU,-1.0
ICITHELP,HHM13EDU,-1.0
ICITOPP,HHM8TRW,0.7655318158241112
ICITOPP,HHM8MAR,0.9801960588196069
ICITOPP,HHM8MRAGE,0.7388664511337205
ICITOPP,HHM9TRW,0.843274042711568
ICITOPP,HHM11SEX,0.768273325346536
ICITOPP,HHM12DOB,-1.0
ICITOPP,HHM13RELR,-1.0
ICITOPP,HHM13DOB,-1.0
USSRNEOO,ACCTOBA,-0.7124684141895685
USSRNEOO,ACCSEBM,-0.8571501342034584
USSRNEOO,IMPISS1O,-0.7925690887059782
USSRNEOO,NATOSUPO,-1.0
USSRNEOO,EUNSUPW,-0.7894979403029901
USSRNEOO,UNEMYRS,0.837416928070577
USSRNEOO,HHM4SEX,0.7801400543722872
USSRNEOO,HHM4EMP,-1.0
USSRNEOO,HHM5RELR,0.88249750329277
USSRNEOO,HHM5SEX,-0.8824975032927698
USSRNEOO,HHM5DOB,0.9738412235163386
USSRNEOO,HHM5EDU,-0.944911182523068
USSRNEOO,HHM6DOB,-1.0
CNTRDEM,HHM8MAR,-0.8320502943378437
CNTRDEM,HHM12RELR,-0.8660254037844385
ATTDEM,PARTYSUSO,-1.0
ATTDEM,HHM5TAP,-0.7784320599357746
ATTDEM,HHM9MAR,-1.0
ATTDEM,HHM12SEX,-0.8660254037844385
ECOINVEST,HHM8EMP,0.9128709291752768
ECOINVEST,HHM8MRAGE,0.7894736842105263
AMULSAR,HHM12DOB,-1.0
AMULSAR,HHM13RELR,-1.0
AMULSAR,HHM13DOB,-1.0
GLWARM,HHM8EMP,-1.0000000000000002
GLWARM,HHM8MRAGE,-0.9271726499455305
ENVPROBAP,ENVPROBO,0.7081971546656645
ENVPROBAP,SECNDLAOO,-0.7453559924999299
ENVPROBSEV,HHM6TRP,-1.0
ENVPROBSEV,HHM11DOB,0.9611540777559282
ENVPROBSEV,HHM11EDU,-0.9128709291752768
ENVPROBPL,HHM5TRP,-1.0
ENVPROBTW,HHM8TRW,-0.9999999999999999
ENVPROBTW,HHM9TRW,-1.0
ENVPROBTW,HHM11RELR,0.9931459096297017
ENVPROBTR,SECNDLAOO,0.7453559924999299
ENVPROBTR,HHM6TAP,-0.9999999999999998
ENVPROBTR,HHM9DOB,-0.8890807940184768
ENVPROBTR,HHM9EDU,0.7453862417234767
ENVPROBTR,HHM10DOB,-0.9416621396610163
ENVPROBTR,HHM10EDU,0.7803989725717081
ENVPROBTR,HHM11DOB,-0.9611540777559282
ENVPROBTR,HHM11EDU,0.9128709291752768
ENVPROBGMF,HHM9POB,0.9999999999999997
ENVPROBRW,HHM7MRAGE,0.8247860988423226
ENVPROBOT,PARTYSUPO,-0.9452941770058044
ENVPROBO,GALLTRU,0.7257976303838014
ENVPROBO,BUSINJEW,-0.7517421626261009
ENVPROBO,ACCSEPL,0.894427190999916
ENVPROBO,IMPISS2,0.8563957002228944
ENVPROBO,IMPISS2O,0.9041944301794651
ENVPROBO,REFHLT,-0.7178459465435066
ENVPROBO,TRUOMB,0.798595706249925
ENVPROBO,NATNSUPW,-1.0
ENVPROBO,EEUSUPW,0.7283956834350812
